company,ticker,year,ad_exp,cash,cfo,cogs,cur_assets,cur_liab,equity,inventories,op_inc,revenue,sga,st_borrow,tot_liab
LG생활건강,51900,2019,,6471.04059171,11396.41474935,177.73035035,21630.74840988,17712.0377967,42370.87665136,7463.23199447,11764.11246904,6110.44864691,35917.66708822,2876.44127872,2007.60674566
LG생활건강,51900,2020,,4341.05464098,10048.42472035,216.16953222,19827.68917805,14797.23875311,48491.95698865,8089.65987719,12208.64731311,5855.64696288,36607.10772262,1864.12985536,1804.11503449
LG생활건강,51900,2021,,7345.20611733,9844.81666368,228.86303361,24728.84295774,15258.44759254,54978.32811356,10006.55942465,12896.30423605,5548.57050527,37619.97319316,2566.7614585,1888.01478806
LG생활건강,51900,2022,,6550.92563078,4972.994831,272.61631668,22843.88637755,11627.57522705,54688.35988249,9554.32614662,7111.22934369,5508.61505948,33061.24157201,2155.44469417,1023.79416709
LG생활건강,51900,2023,,9103.48037982,6590.61627244,390.52274245,24295.83603574,10896.58847771,55489.264658,8845.15142151,4869.81224742,5290.76344154,31399.37063742,1381.82509535,72202.85811725
LG생활건강,51900,2024,,12534.69878367,5276.30110092,211.36677993,28560.48500735,12959.00316472,56859.20091079,9224.18157031,4590.4591218,5762.05113721,31017.86484665,2413.30029491,74057.84092201
아모레퍼시픽,90430,2019,,6735.8037545,7183.00781333,0.0,18030.63670498,10665.67435582,44988.40803125,4525.89071942,4278.34596504,3658.84445662,36517.92017591,993.46553098,673.99350946
아모레퍼시픽,90430,2020,,7937.28286323,5543.5872438,0.0,18257.32428259,9659.46712547,44643.97744195,4144.82961333,1430.09119307,2837.70117119,30237.71855339,1541.60189044,60.97005496
아모레퍼시픽,90430,2021,,5376.93630647,6914.34410702,8.11274982,20185.268581,11574.85393842,47442.99877622,4932.23642997,3433.5780905,2957.69466239,31571.31485221,1991.24082671,899.62740389
아모레퍼시픽,90430,2022,,4495.97948392,1510.2373034,300.0,17350.19347862,8311.16935949,47792.75104059,4089.34396533,2142.33255761,2851.04514893,25831.86849501,2234.13563558,411.08987667
아모레퍼시픽,90430,2023,,5063.79386493,3482.27953524,586.3,19521.96456821,8132.57101661,48727.05211057,3943.11802314,1081.71257062,2929.00370185,24107.27650626,2441.08853364,58865.10888702
아모레퍼시픽,90430,2024,,4515.43362844,3345.09652791,300.0,17348.08826757,10957.05144331,53260.07889106,4978.01286466,2204.81343913,3863.39598982,25262.51154411,3061.94906069,67835.07800768
에이피알,278470,2019,,174.54914496,226.30045629,,474.75785739,488.64802988,93.96752965,160.9912319,71.52417688,97.21698135,1060.98878471,0.0,13.67212865
에이피알,278470,2020,,296.18192919,127.77511272,,628.17954586,290.46487205,516.99915148,185.60580552,144.69696877,105.99063509,1468.83270338,60.0,38.76383488
에이피알,278470,2021,,337.9898285,45.85024805,,903.18935738,500.64266575,660.01080624,378.31063627,142.73152154,137.62670732,1732.49530478,165.0,49.3616419
에이피알,278470,2022,0.0025,572.53261626,316.30786168,,1370.24020095,762.66539344,1002.57994716,504.60161074,392.28479397,210.70155714,2522.46164696,215.0,72.46522656
에이피알,278470,2023,,1253.34572532,1078.40961394,,2193.07995672,822.96421377,1969.48868778,565.20972365,1041.93724865,230.05221709,2912.54657539,75.0,2873.09488243
에이피알,278470,2024,,903.66354391,791.2416173,,2860.27445388,1451.3675858,3235.2407399,1097.45676962,1227.05544449,479.47406079,4208.9415512,75.0,5651.43563187
